Album_Subgenre_ID,Album_ID,Subgenre_ID
1,1,1
2,2,2
3,3,3
4,4,4
5,5,5
6,6,6
7,7,7
8,8,8
9,9,9
10,10,10
11,11,11
12,12,12
13,13,13
14,14,14
15,15,15
16,16,16
17,17,17
18,18,5
19,19,18
20,20,19
21,21,11
22,22,20
23,23,5
24,24,6
25,25,21
26,26,5
27,27,22
28,28,23
29,29,24
30,30,25
31,31,26
32,32,24
33,33,27
34,34,28
35,35,29
36,36,30
37,37,31
38,38,32
39,39,33
40,40,34
41,41,35
42,42,36
43,43,37
44,44,38
45,45,39
46,46,40
47,47,41
48,48,42
49,49,43
50,50,44
51,51,45
52,52,6
53,61,6
54,136,6
55,53,33
56,54,46
57,55,47
58,56,48
59,57,49
60,58,50
61,59,51
62,60,52
63,52,53
64,61,53
65,136,53
66,62,54
67,63,55
68,64,31
69,65,56
70,66,57
71,67,58
72,68,59
73,69,60
74,70,5
75,71,61
76,72,62
77,73,31
78,74,63
79,75,64
80,76,65
81,77,66
82,78,6
83,79,67
84,80,5
85,81,35
86,82,68
87,83,69
88,84,6
89,85,6
90,86,5
91,87,70
92,88,71
93,89,72
94,90,73
95,91,74
96,92,11
97,93,75
98,94,71
99,95,76
100,96,36
101,97,32
102,98,77
103,99,53
104,100,36
105,101,78
106,102,79
107,103,80
108,104,81
109,105,82
110,106,27
111,107,83
112,108,29
113,109,84
114,110,85
115,111,86
116,112,87
117,113,88
118,114,89
119,115,90
120,116,91
121,117,43
122,118,51
123,119,21
124,120,92
125,121,93
126,122,94
127,123,51
128,124,34
129,125,43
130,126,95
131,127,34
132,128,96
133,129,97
134,130,98
135,131,54
136,132,99
137,133,51
138,134,100
139,135,86
140,52,31
141,61,31
142,136,31
143,137,101
144,138,102
145,139,103
146,140,104
147,141,105
148,142,5
149,143,106
150,144,102
151,145,107
152,146,34
153,147,31
154,148,31
155,149,108
156,150,5
157,151,101
158,152,109
159,153,42
160,154,105
161,155,110
162,156,111
163,157,112
164,158,74
165,159,113
166,160,114
167,161,21
168,162,86
169,163,51
170,164,88
171,165,6
172,166,110
173,167,115
174,168,116
175,169,40
176,170,117
177,171,118
178,172,5
179,173,119
180,174,120
181,175,121
182,176,122
183,177,123
184,178,124
185,179,125
186,180,126
187,181,40
188,182,87
189,183,71
190,184,127
191,185,128
192,186,53
193,187,129
194,188,130
195,189,131
196,190,132
197,191,128
198,192,130
199,193,133
200,194,134
201,195,135
202,196,136
203,197,86
204,198,105
205,199,101
206,200,66
207,201,137
208,202,87
209,203,138
210,204,139
211,205,140
212,206,51
213,207,141
214,208,87
215,209,142
216,210,68
217,211,143
218,212,144
219,213,31
220,214,145
221,215,134
222,216,146
223,217,21
224,218,101
225,219,51
226,220,147
227,221,148
228,222,149
229,223,5
230,224,150
231,225,151
232,226,152
233,227,101
234,228,51
235,229,153
236,230,84
237,231,154
238,232,155
239,233,156
240,234,45
241,235,51
242,236,51
243,237,157
244,238,51
245,239,127
246,240,31
247,241,158
248,392,158
249,242,51
250,243,159
251,244,160
252,245,161
253,246,162
254,247,163
255,248,164
256,249,86
257,250,51
258,251,165
259,252,51
260,253,166
261,254,6
262,255,167
263,256,168
264,257,169
265,258,3
266,259,170
267,260,171
268,261,120
269,262,45
270,263,51
271,264,68
272,265,172
273,266,173
274,267,174
275,268,87
276,269,175
277,270,176
278,271,2
279,272,101
280,273,6
281,274,177
282,275,51
283,276,178
284,277,179
285,278,180
286,279,134
287,280,5
288,281,181
289,282,20
290,283,49
291,284,182
292,285,183
293,286,21
294,287,184
295,288,36
296,289,185
297,290,21
298,291,77
299,292,68
300,293,186
301,294,187
302,295,188
303,296,144
304,297,189
305,298,190
306,299,191
307,300,54
308,301,71
309,302,42
310,303,92
311,304,192
312,305,193
313,306,194
314,307,195
315,308,196
316,309,7
317,310,197
318,311,198
319,312,86
320,313,199
321,314,200
322,315,201
323,316,13
324,317,86
325,318,6
326,319,202
327,320,203
328,321,204
329,322,51
330,323,205
331,324,206
332,325,51
333,326,207
334,327,208
335,328,144
336,329,73
337,330,209
338,331,210
339,332,120
340,333,27
341,334,51
342,335,86
343,336,211
344,337,143
345,338,212
346,339,213
347,340,214
348,341,215
349,342,127
350,343,5
351,344,66
352,345,216
353,346,51
354,347,36
355,348,217
356,349,51
357,350,84
358,351,218
359,352,219
360,353,51
361,354,220
362,355,15
363,356,121
364,357,221
365,358,12
366,359,222
367,360,35
368,361,223
369,362,86
370,363,127
371,364,224
372,365,225
373,366,226
374,367,227
375,368,228
376,369,144
377,370,31
378,371,101
379,372,116
380,373,229
381,374,230
382,375,5
383,376,231
384,377,232
385,378,233
386,379,181
387,380,234
388,381,2
389,382,235
390,383,236
391,384,237
392,385,4
393,386,238
394,387,102
395,388,239
396,389,5
397,390,240
398,391,88
399,241,5
400,392,5
401,393,241
402,394,121
403,395,242
404,396,243
405,397,244
406,398,5
407,399,43
408,400,49
409,401,197
410,402,51
411,403,245
412,404,246
413,405,247
414,406,101
415,407,248
416,408,249
417,409,36
418,410,43
419,411,43
420,412,35
421,413,250
422,414,5
423,415,66
424,416,251
425,417,116
426,418,5
427,419,252
428,420,253
429,421,121
430,422,254
431,423,255
432,424,45
433,425,256
434,426,257
435,427,258
436,428,259
437,429,260
438,430,101
439,431,101
440,432,261
441,433,5
442,434,247
443,435,262
444,436,263
445,437,264
446,438,265
447,439,6
448,440,266
449,441,267
450,442,77
451,443,268
452,444,269
453,445,5
454,446,270
455,447,271
456,448,116
457,449,272
458,450,74
459,451,6
460,452,193
461,453,51
462,454,31
463,455,43
464,456,6
465,457,86
466,458,273
467,459,21
468,460,142
469,461,274
470,462,51
471,463,236
472,464,218
473,465,275
474,466,22
475,467,51
476,468,276
477,469,277
478,470,51
479,471,278
480,472,279
481,473,101
482,474,280
483,475,116
484,476,51
485,477,71
486,478,71
487,479,281
488,480,51
489,481,282
490,482,283
491,483,112
492,484,29
493,485,284
494,486,64
495,487,285
496,488,250
497,489,66
498,490,224
499,491,286
500,492,287
501,493,86
502,494,275
503,495,43
504,496,5
505,497,288
506,498,101
507,499,289
508,500,290
